id,uri,uuid,version,status,title,statement,kind,domain,level_band,example_item,example_expected,example_response,n_evidence_patterns,n_sources,first_source,review_date,license
math.frac.division-is-sharing-only,https://oml.learnco.io/m/math.frac.division-is-sharing-only,50e4d120-cd01-49b2-95e6-5ec8df0762d1,0.1.0,draft,Division of fractions only means sharing,"Dividing means sharing a quantity equally among a number of people, so a division by a fraction has no meaning and must be a mistake or a different operation.",undergeneralization,math.fractions,primary;middle;adult,How many 1/2-cup servings are in 3 cups?,3 / 1/2 = 6,3 / 2 = 1.5 (or 3 x 2 = 6 'because it can't be division'),2,3,"Fischbein, E., Deri, M., Nello, M. S., & Marino, M. S. (1985). The role of implicit models in solving verbal problems in multiplication and division. Journal for Research in Mathematics Education, 16(1), 3-17.",,CC-BY-4.0
math.frac.equivalence-additive,https://oml.learnco.io/m/math.frac.equivalence-additive,5aadfc6d-33f3-4336-908b-02c278e40508,0.1.0,draft,Equivalent fractions by adding the same number,"You get an equivalent fraction by adding the same number to the numerator and the denominator, or by subtracting the same number from both.",overgeneralization,math.fractions,primary;middle,2/3 = ?/6,4/6,5/6,2,4,"Hart, K. M. (Ed.). (1981). Children's Understanding of Mathematics: 11-16. John Murray. (Concepts in Secondary Mathematics and Science project.)",,CC-BY-4.0
math.frac.fraction-decimal-digit-copy,https://oml.learnco.io/m/math.frac.fraction-decimal-digit-copy,fb3c3db0-26d5-4aba-a7ea-c9ce84089d88,0.1.0,draft,Writing a fraction as a decimal by copying its digits,"A fraction is written as a decimal by putting its numerator, or its denominator, after the decimal point.",notation-confusion,math.fractions,primary;middle,Write 1/4 as a decimal,0.25,0.4,2,3,"Kerslake, D. (1986). Fractions: Children's Strategies and Errors. NFER-Nelson.",,CC-BY-4.0
math.frac.improper-impossible,https://oml.learnco.io/m/math.frac.improper-impossible,5211ad46-cba5-4c3d-92ff-9fa79d9ed753,0.1.0,draft,A fraction cannot be more than one whole,"A fraction is always part of one whole, so the numerator can never be bigger than the denominator and a fraction can never be greater than 1.",undergeneralization,math.fractions,primary;middle,3/4 + 3/4 = ?,6/4 (= 1 1/2),6/8 (or 1),2,3,"Stafylidou, S., & Vosniadou, S. (2004). The development of students' understanding of the numerical value of fractions. Learning and Instruction, 14(5), 503-518.",,CC-BY-4.0
math.frac.invert-both,https://oml.learnco.io/m/math.frac.invert-both,aa675277-3fb6-44fe-aad9-20dacc62d775,0.1.0,draft,Inverting both fractions when dividing,To divide fractions you flip both fractions and then multiply.,procedural-bug,math.fractions,middle;secondary;adult,1/2 / 3/4 = ?,2/3,8/3,1,3,"Ashlock, R. B. (2010). Error Patterns in Computation: Using Error Patterns to Help Each Student Learn (10th ed.). Allyn & Bacon.",,CC-BY-4.0
math.frac.invert-dividend,https://oml.learnco.io/m/math.frac.invert-dividend,33e03294-fca9-4bef-92bc-386f55ec81de,0.1.0,draft,Inverting the first fraction when dividing,To divide fractions you flip the first fraction and then multiply.,procedural-bug,math.fractions,middle;secondary;adult,1/2 / 3/4 = ?,2/3,6/4 (= 3/2),1,4,"Ashlock, R. B. (2010). Error Patterns in Computation: Using Error Patterns to Help Each Student Learn (10th ed.). Allyn & Bacon.",,CC-BY-4.0
math.frac.mixed-to-improper-add-all,https://oml.learnco.io/m/math.frac.mixed-to-improper-add-all,be94771a-f7b8-4af6-acb3-a3fe723a0d20,0.1.0,draft,Converting a mixed number by adding all its numbers,To write a mixed number as an improper fraction you add the whole number to the numerator and keep the denominator.,procedural-bug,math.fractions,primary;middle,Write 2 1/3 as an improper fraction,7/3,3/3,1,2,"Ashlock, R. B. (2010). Error Patterns in Computation: Using Error Patterns to Help Each Student Learn (10th ed.). Allyn & Bacon.",,CC-BY-4.0
math.frac.multiply-makes-bigger,https://oml.learnco.io/m/math.frac.multiply-makes-bigger,04246969-9c77-41b0-a67b-b48be9b2f5a3,0.1.0,draft,Multiplication always makes bigger,"Multiplying always gives a result larger than the number you started with, so multiplying by a fraction cannot make a number smaller.",overgeneralization,math.fractions,primary;middle;secondary;adult,"Without calculating, is 8 x 3/4 more or less than 8?",Less,More,2,4,"Fischbein, E., Deri, M., Nello, M. S., & Marino, M. S. (1985). The role of implicit models in solving verbal problems in multiplication and division. Journal for Research in Mathematics Education, 16(1), 3-17.",,CC-BY-4.0
math.frac.multiply-mixed-parts-separately,https://oml.learnco.io/m/math.frac.multiply-mixed-parts-separately,89ca96fb-84d7-4b24-a0f0-c24cf282e25c,0.1.0,draft,Multiplying mixed numbers part by part,To multiply mixed numbers you multiply the whole numbers together and the fractions together and put the two results back together.,procedural-bug,math.fractions,middle,2 1/2 x 3 1/3 = ?,8 1/3,6 1/6,1,3,"Ashlock, R. B. (2010). Error Patterns in Computation: Using Error Patterns to Help Each Student Learn (10th ed.). Allyn & Bacon.",,CC-BY-4.0
math.frac.multiply-with-common-denominator,https://oml.learnco.io/m/math.frac.multiply-with-common-denominator,116cbd32-81bd-4fbb-b5b2-31a47ff576b4,0.1.0,draft,Multiplying needs a common denominator,"Before multiplying fractions you must write them with a common denominator, then multiply the numerators and keep the denominator.",overgeneralization,math.fractions,primary;middle,1/2 x 1/3 = ?,1/6,3/6 x 2/6 = 6/6 = 1,2,3,"Newton, K. J. (2008). An extensive analysis of preservice elementary teachers' knowledge of fractions. American Educational Research Journal, 45(4), 1080-1110.",,CC-BY-4.0
math.frac.no-number-between,https://oml.learnco.io/m/math.frac.no-number-between,a18f0879-fc85-4c07-8da5-d1e68e72c460,0.1.0,draft,No number between neighbouring fractions,"Fractions come one after another like whole numbers, so between two fractions that are 'next to each other' there is no other number.",overgeneralization,math.fractions,middle;secondary,How many numbers are there between 1/5 and 2/5?,Infinitely many,None,2,3,"Vamvakoussi, X., & Vosniadou, S. (2004). Understanding the structure of the set of rational numbers: A conceptual change approach. Learning and Instruction, 14(5), 453-467.",,CC-BY-4.0
math.frac.number-line-whole-is-line,https://oml.learnco.io/m/math.frac.number-line-whole-is-line,fb647fd2-a6ef-40a4-a0ac-abd0d497e750,0.1.0,draft,The whole line is the whole,"On a number line the fraction refers to the whole line drawn, so 1/2 is at the middle of the line wherever the line ends.",overgeneralization,math.fractions,primary;middle,Mark 1/2 on a number line from 0 to 3,halfway between 0 and 1,"at 1 1/2, the middle of the line",2,2,"Bright, G. W., Behr, M. J., Post, T. R., & Wachsmuth, I. (1988). Identifying fractions on number lines. Journal for Research in Mathematics Education, 19(3), 215-232.",,CC-BY-4.0
math.frac.of-quantity-swap-roles,https://oml.learnco.io/m/math.frac.of-quantity-swap-roles,721c3f30-4b4e-4ffb-ac77-3433d1a18164,0.1.0,draft,Swapping numerator and denominator when finding a fraction of a quantity,To find a/b of a quantity you divide the quantity by a and multiply by b.,procedural-bug,math.fractions,primary;middle,Find 3/4 of 20,15,26 2/3 (20 / 3 x 4),2,2,"Hart, K. M. (Ed.). (1981). Children's Understanding of Mathematics: 11-16. John Murray. (Concepts in Secondary Mathematics and Science project.)",,CC-BY-4.0
math.frac.part-to-part,https://oml.learnco.io/m/math.frac.part-to-part,15a57c88-bbde-47b3-bd0d-6771a62e6cec,0.1.0,draft,Writing the shaded part over the unshaded part,"A fraction compares the shaded part with the unshaded part, so the number of shaded pieces goes on top and the number of unshaded pieces goes underneath.",notation-confusion,math.fractions,early-primary;primary,A bar is cut into 5 equal parts and 3 are shaded. What fraction is shaded?,3/5,3/2,1,3,"Hart, K. M. (Ed.). (1981). Children's Understanding of Mathematics: 11-16. John Murray. (Concepts in Secondary Mathematics and Science project.)",,CC-BY-4.0
math.frac.subtract-across,https://oml.learnco.io/m/math.frac.subtract-across,f9b8d0fd-1f46-47ac-8fc7-d4923e7ef2c8,0.1.0,draft,Subtracting fractions across numerators and denominators,Fractions are subtracted by subtracting the numerators and subtracting the denominators.,overgeneralization,math.fractions,primary;middle,3/4 - 1/2 = ?,1/4,2/2 (= 1),2,3,"Siegler, R. S., Thompson, C. A., & Schneider, M. (2011). An integrated theory of whole number and fractions development. Cognitive Psychology, 62(4), 273-296.",,CC-BY-4.0
math.frac.two-whole-numbers,https://oml.learnco.io/m/math.frac.two-whole-numbers,dd52364b-0b0d-4ab8-a0f5-51bcb845f7fc,0.1.0,draft,A fraction is two separate whole numbers,"A fraction is two whole numbers written one above the other, not a single number with its own size; the numerator and denominator can be read and handled separately.",overgeneralization,math.fractions,primary;middle,Mark 3/4 on a number line from 0 to 10,"between 0 and 1, three quarters of the way","at 3 (or at 4, or at 7)",2,4,"Ni, Y., & Zhou, Y.-D. (2005). Teaching and learning fraction and rational numbers: The origins and implications of whole number bias. Educational Psychologist, 40(1), 27-52.",,CC-BY-4.0
math.frac.unequal-parts,https://oml.learnco.io/m/math.frac.unequal-parts,e7a0875c-e339-4404-9f39-1f73cfe9206f,0.1.0,draft,Any part of a shape cut into b pieces is 1/b,"If a shape is cut into b pieces, each piece is one b-th of the shape, whether or not the pieces are the same size.",missing-prerequisite,math.fractions,early-primary;primary,A rectangle is cut into 4 pieces of different sizes; the largest is shaded. What fraction is shaded?,Cannot tell from the count; it is more than 1/4,1/4,2,3,"Kerslake, D. (1986). Fractions: Children's Strategies and Errors. NFER-Nelson.",,CC-BY-4.0
prog.arr.arrays-grow,https://oml.learnco.io/m/prog.arr.arrays-grow,c14aea0d-dc29-4cdc-9e08-bde06dfa0014,0.1.0,draft,Arrays grow when you add to them,"An array gets bigger by itself when you store something past its end, so its size does not need to be decided in advance.",overgeneralization,prog.arrays,secondary;undergraduate,"int[] a = new int[3];
a[3] = 7;
System.out.println(a.length);",ArrayIndexOutOfBoundsException,4,1,2,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.arr.length-is-a-method,https://oml.learnco.io/m/prog.arr.length-is-a-method,38f22ed3-8b31-4032-9be3-581599629ee5,0.1.0,draft,An array's length is a method call,"You get the length of an array by calling a method on it, in the same way as for a string or a list.",notation-confusion,prog.arrays,secondary;undergraduate,"Given int[] a, write an expression for its length.",a.length,a.length() (or a.size()),1,1,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.bool.must-compare-with-literal,https://oml.learnco.io/m/prog.bool.must-compare-with-literal,1e4090f5-0d1e-4bf3-af12-7671e11aaf09,0.1.0,draft,A boolean must be compared with true to be used as a condition,"A boolean variable or expression cannot be used directly as a condition; it has to be compared with true or false first, and a comparison is the only thing that produces a condition.",undergeneralization,prog.boolean,secondary;undergraduate,done is a boolean. Write the condition for 'if done'.,if done:,if done == True:,2,1,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.bool.no-short-circuit,https://oml.learnco.io/m/prog.bool.no-short-circuit,835a754e-f33f-4ab3-88a1-2cc87dc58918,0.1.0,draft,Both operands of and/or are always evaluated,"A logical and or or always evaluates both of its operands, whatever the first one turns out to be.",undergeneralization,prog.boolean,secondary;undergraduate,"items = []
if len(items) > 0 and items[0] == 'x':
    print('yes')
else:
    print('no')",no,IndexError,2,2,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.control.conditional-is-sequence,https://oml.learnco.io/m/prog.control.conditional-is-sequence,7e5b6c85-5df3-4013-8746-0f18576e8b5a,0.1.0,draft,Both branches of an if-else run in turn,"In an if-else statement the if branch runs when the condition is true and then the else branch runs afterwards as well, because it comes next in the code.",overgeneralization,prog.control,primary;middle;secondary;undergraduate,"x = 5
if x > 0:
    print('positive')
else:
    print('not positive')",positive,"positive
not positive",1,3,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.control.if-is-loop,https://oml.learnco.io/m/prog.control.if-is-loop,aa78ad26-c8b4-4d72-8e2f-84a48c0efed1,0.1.0,draft,An if statement repeats while its condition holds,"The body of an if statement keeps running for as long as the condition is true, like a while loop.",misapplied-analogy,prog.control,secondary;undergraduate,"x = 0
if x < 3:
    x = x + 1
print(x)",1,3,1,3,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.control.loop-body-variables-reset,https://oml.learnco.io/m/prog.control.loop-body-variables-reset,300e50db-d430-4eaa-928f-d34e302f6c48,0.1.0,draft,Variables reset at the start of every loop iteration,"Every time a loop body starts again, the variables changed inside it go back to what they were before the loop.",overgeneralization,prog.control,primary;middle;secondary;undergraduate,"total = 0
for n in [1, 2, 3]:
    total = total + n
print(total)",6,3,1,3,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.control.while-checked-continuously,https://oml.learnco.io/m/prog.control.while-checked-continuously,8ed015e5-884f-4e76-91d6-2d5f339b2392,0.1.0,draft,A while loop stops the instant its condition becomes false,"The condition of a while loop is watched continuously, so the loop exits in the middle of the body the moment the condition turns false.",misapplied-analogy,prog.control,secondary;undergraduate,"i = 0
while i < 2:
    i = i + 1
    print(i)","1
2",1,1,3,"Pea, R. D. (1986). Language-independent conceptual ""bugs"" in novice programming. Journal of Educational Computing Research, 2(1), 25-36.",,CC-BY-4.0
prog.exec.all-statements-active,https://oml.learnco.io/m/prog.exec.all-statements-active,a3989f3c-0cf8-4317-874b-f9b8fd9c12e2,0.1.0,draft,All the statements in a program are active at once,"Every line of a program is active at the same time, so a later line can affect what an earlier line did, and a condition anywhere is watched continuously.",misapplied-analogy,prog.execution,secondary;undergraduate,"x = 1
print(x)
x = 2",1,2,1,2,"Pea, R. D. (1986). Language-independent conceptual ""bugs"" in novice programming. Journal of Educational Computing Research, 2(1), 25-36.",,CC-BY-4.0
prog.exec.computer-infers-intent,https://oml.learnco.io/m/prog.exec.computer-infers-intent,0b67ef75-97f2-4e35-8de8-058b5a78261b,0.1.0,draft,The computer fills in what you meant,"The computer understands the purpose of the program and fills in steps that were left out, so a program does what you meant as long as the intention is clear.",misapplied-analogy,prog.execution,primary;middle;secondary;undergraduate,"numbers = [3, 1, 2]
print(numbers)  # print sorted","[3, 1, 2]","[1, 2, 3]",1,3,"Pea, R. D. (1986). Language-independent conceptual ""bugs"" in novice programming. Journal of Educational Computing Research, 2(1), 25-36.",,CC-BY-4.0
prog.func.argument-name-must-match-parameter,https://oml.learnco.io/m/prog.func.argument-name-must-match-parameter,e7df53b7-374a-4b33-86e9-3c2883c5374f,0.1.0,draft,Arguments are matched to parameters by name,"The variable passed to a function has to have the same name as the parameter, or the function will not receive it.",misapplied-analogy,prog.functions,secondary;undergraduate,"def show(n):
    print(n)
value = 5
show(value)",5,Error: n is not defined (or 'nothing'),2,3,"Fleury, A. E. (1991). Parameter passing: The rules the students construct. In Proceedings of the 22nd SIGCSE Technical Symposium on Computer Science Education (SIGCSE '91), 283-286.",,CC-BY-4.0
prog.func.base-case-not-needed,https://oml.learnco.io/m/prog.func.base-case-not-needed,09dac977-0121-45e8-8a5c-0aa059faf59c,0.1.0,draft,A recursive function stops by itself,"A recursive function stops calling itself when there is nothing left to do, so it does not need an explicit base case.",missing-prerequisite,prog.functions,middle;secondary;undergraduate,"def count_down(n):
    print(n)
    count_down(n - 1)
count_down(3)",3 2 1 0 -1 ... until the recursion limit is hit,3 2 1,2,3,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.func.multiple-return-values,https://oml.learnco.io/m/prog.func.multiple-return-values,ba72c8c8-9a30-4f6a-9c9f-50370cde1a2f,0.1.0,draft,A function can return several separate values,"return a, b sends back two separate values, so the caller receives two things rather than one tuple.",undergeneralization,prog.functions,undergraduate,"def f():
    return 1, 2
x = f()
print(type(x))",<class 'tuple'>,"int (or 'error, two values into one variable')",1,1,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.func.parameters-alias-arguments,https://oml.learnco.io/m/prog.func.parameters-alias-arguments,7e500e88-daa7-49cb-a8f4-d0e0d6a62db0,0.1.0,draft,Changing a parameter changes the caller's variable,"A parameter is the same variable as the argument that was passed in, so assigning to the parameter inside the function changes the caller's variable, even for numbers and strings.",overgeneralization,prog.functions,secondary;undergraduate,"def bump(n):
    n = n + 1
x = 1
bump(x)
print(x)",1,2,1,3,"Fleury, A. E. (1991). Parameter passing: The rules the students construct. In Proceedings of the 22nd SIGCSE Technical Symposium on Computer Science Education (SIGCSE '91), 283-286.",,CC-BY-4.0
prog.func.print-is-return,https://oml.learnco.io/m/prog.func.print-is-return,c75e0b4a-c9c4-41af-af83-a095635ace63,0.1.0,draft,Printing a value is the same as returning it,"A function gives its result back by printing it, so a function that prints its answer can be used in an expression, and return is just another way to display.",misapplied-analogy,prog.functions,secondary;undergraduate,"def double(n):
    print(n * 2)
x = double(4)
print(x + 1)",8 then TypeError (x is None),9,2,3,"Sorva, J. (2012). Visual Program Simulation in Introductory Programming Education (Doctoral dissertation, Aalto University). Appendix A catalogues introductory programming misconceptions from the literature.",,CC-BY-4.0
prog.func.recursion-as-loop,https://oml.learnco.io/m/prog.func.recursion-as-loop,fee3c932-6d7c-4816-aab9-c1dfe916ef15,0.1.0,draft,A recursive call jumps back to the start,"A recursive call is a jump back to the beginning of the function, using the same variables, so there is only ever one copy of the function running.",misapplied-analogy,prog.functions,secondary;undergraduate,"def show(n):
    if n == 0:
        return
    show(n - 1)
    print(n)
show(3)","1
2
3","3 2 1 (or nothing, or 1 only)",1,2,"Kahney, H. (1983). What do novice programmers know about recursion? In Proceedings of the SIGCHI Conference on Human Factors in Computing Systems (CHI '83), 235-239.",,CC-BY-4.0
prog.obj.assignment-copies-object,https://oml.learnco.io/m/prog.obj.assignment-copies-object,bf369c82-773c-4072-950c-55b6d9464684,0.1.0,draft,Assigning an object makes a copy,"Assigning one object variable to another makes a second, independent copy of the object, so changing one does not affect the other.",overgeneralization,prog.objects,secondary;undergraduate,"a = [1, 2]
b = a
b.append(3)
print(a)","[1, 2, 3]","[1, 2]",1,3,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.obj.constant-reference-is-immutable,https://oml.learnco.io/m/prog.obj.constant-reference-is-immutable,371c613b-da3c-49d9-917e-3758758a1a81,0.1.0,draft,A constant reference means an unchangeable object,"Declaring an object variable final or const makes the object it refers to unchangeable, so its fields or elements cannot be modified.",overgeneralization,prog.objects,secondary;undergraduate,"const items = [1, 2];
items.push(3);
console.log(items);","[1, 2, 3]",TypeError (or 'not allowed'),1,1,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
prog.obj.constructor-returns-object,https://oml.learnco.io/m/prog.obj.constructor-returns-object,82998d6e-dc24-425a-984e-e60d6a3b1de6,0.1.0,draft,A constructor must return the object,"A constructor creates the object and has to return it at the end, so a constructor without a return statement produces nothing.",overgeneralization,prog.objects,secondary;undergraduate,Write a constructor for Point that stores x and y.,"Point(int x, int y) { this.x = x; this.y = y; }","Point Point(int x, int y) { this.x = x; this.y = y; return this; }",1,2,"Chiodini, L., Moreno Santos, I., Gallidabino, A., Tafliovich, A., Santos, A. L., & Hauswirth, M. (2021). A curated inventory of programming language misconceptions. In Proceedings of the 26th ACM Conference on Innovation and Technology in Computer Science Education (ITiCSE '21), 380-386.",,CC-BY-4.0
